compound_id	compound_name	category
1-Acyl-2-Arachindonoyl-PIs	a 1-acyl-2-arachidonoyl-phosphatidylinositol	Phospholipids
1-Acyl-2-Lysophosaphatidylserines	a 2-lysophosphatidylserine	Phospholipids
1-Acyl-sn-glycero-3-phosphocholines	a 1-acyl-2-lyso-sn-glycero-3-phosphocholine	Others
1-Acyl-sn-glycerols	a 1-acyl-sn-glycerol	Glycerides
1-Acyl-sn-glycerols	a 1-acyl-sn-glycerol	Glycerolipids
1-Alkenes	a 1-alkene	Olefins
1-Alkenyl-2-Acyl-Glycerol-3P	a 2-acyl-1-Z-alk-1-enyl-sn-glycerol 3-phosphoate	Ethers
1-Alkenyl-2-Acyl-Glycerol-3P	a 2-acyl-1-Z-alk-1-enyl-sn-glycerol 3-phosphoate	Ether-Lipids
1-Alkenyl-2-Acyl-Glycerol-3P	a 2-acyl-1-Z-alk-1-enyl-sn-glycerol 3-phosphoate	Phospholipids
1-Alkenyl-glycerol	a 1-alk-1-enyl-sn-glycerol	Ethers
1-Alkenyl-glycerol	a 1-alk-1-enyl-sn-glycerol	Ether-Lipids
1-Alkenyl-phosphoglycerol	a 1-O-(alk-1-enyl)-sn-3-phosphoglycerol	Ethers
1-Alkenyl-phosphoglycerol	a 1-O-(alk-1-enyl)-sn-3-phosphoglycerol	Ether-Lipids
1-Alkenyl-phosphoglycerol	a 1-O-(alk-1-enyl)-sn-3-phosphoglycerol	Phospholipids
1-Alkenylglycerophosphoethanolamines	a 1-O-(alk-1-enyl)-sn-glycero-3-phosphoethanolamine	Ethers
1-Alkenylglycerophosphoethanolamines	a 1-O-(alk-1-enyl)-sn-glycero-3-phosphoethanolamine	Ether-Lipids
1-Alkenylglycerophosphoethanolamines	a 1-O-(alk-1-enyl)-sn-glycero-3-phosphoethanolamine	Phospholipids
1-Alkyl-2-acetyl-sn-glycero-3-phosphates	a 1-alkyl-2-acetyl-sn-glycero 3-phosphate	Ethers
1-Alkyl-2-acetyl-sn-glycero-3-phosphates	a 1-alkyl-2-acetyl-sn-glycero 3-phosphate	Glycerolipids
1-Alkyl-2-acetyl-sn-glycero-3-phosphates	a 1-alkyl-2-acetyl-sn-glycero 3-phosphate	Ether-Lipids
1-Alkyl-2-acetyl-sn-glycero-3-phosphates	a 1-alkyl-2-acetyl-sn-glycero 3-phosphate	Phospholipids
1-Alkyl-2-acyl-3D-galactosyl-sn-glycerol	a 1-O-alkyl-2-O-acyl-3-O-&beta;-D-galactosyl-sn-glycerol	Glycerides
1-Alkyl-2-acyl-3D-galactosyl-sn-glycerol	a 1-O-alkyl-2-O-acyl-3-O-&beta;-D-galactosyl-sn-glycerol	Glycerolipids
1-Alkyl-2-acyl-glycerol	a 2-acyl-1-alkyl-sn-glycerol	Ethers
1-Alkyl-2-acyl-glycerol	a 2-acyl-1-alkyl-sn-glycerol	Ether-Lipids
1-Alkyl-2-acyl-glycerol-3-phosphate	a 2-acyl-1-alkyl-sn-glycerol 3-phosphate	Ethers
1-Alkyl-2-acyl-glycerol-3-phosphate	a 2-acyl-1-alkyl-sn-glycerol 3-phosphate	Ether-Lipids
1-Alkyl-2-acyl-glycerol-3-phosphate	a 2-acyl-1-alkyl-sn-glycerol 3-phosphate	Phospholipids
1-Alkyl-2-acyl-glycerol-P-Etn	a plasmanylethanolamine	Ethers
1-Alkyl-2-acyl-glycerol-P-Etn	a plasmanylethanolamine	Ether-Lipids
1-Alkyl-2-acyl-glycerol-P-Etn	a plasmanylethanolamine	Phospholipids
1-Alkyl-sn-glycero-3-phosphocholines	a 1-alkyl-2-lyso-sn-glycero-3-phosphocholine	Ethers
1-Alkyl-sn-glycero-3-phosphocholines	a 1-alkyl-2-lyso-sn-glycero-3-phosphocholine	Ether-Lipids
1-Alkyl-sn-glycero-3-phosphocholines	a 1-alkyl-2-lyso-sn-glycero-3-phosphocholine	Phospholipids
1-Alkyl-sn-glycerol-3-phosphates	a 1-alkyl-sn-glycerol 3-phosphate	Ethers
1-Alkyl-sn-glycerol-3-phosphates	a 1-alkyl-sn-glycerol 3-phosphate	Ether-Lipids
1-Alkyl-sn-glycerol-3-phosphates	a 1-alkyl-sn-glycerol 3-phosphate	Phospholipids
1-Alpha-Linolenoyl-L-Phosphatidate	a 1-&alpha;-linolenoyl 2-acyl-sn-glycerol 3-phosphate	Organic-Acids
1-Alpha-Linolenoyl-L-Phosphatidate	a 1-&alpha;-linolenoyl 2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Alpha-Linolenoyl-L-Phosphatidate	a 1-&alpha;-linolenoyl 2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Arachidonoyl-2-Acyl-Glycerol-P	a 1-arachidonoyl-2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Arachidonoyl-2-Acyl-Glycerol-P	a 1-arachidonoyl-2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Arachidonoyl-2-Acyl-Glycerols	a 1-arachidonoyl-2-acyl-sn-glycerol	Glycerides
1-Arachidonoyl-2-Acyl-Glycerols	a 1-arachidonoyl-2-acyl-sn-glycerol	Glycerolipids
1-BETA-D-GALACTOSYL-2-2-HYDROXYACYLS	a 1-(&beta;-D-galactosyl)-2-(2-hydroxyacyl)sphingosine	Others
1-Benzopyrans	a 1-benzopyran	Organic-Heteropolycyclic-Compounds
1-CARBOXYCYCLOHEXANOYL-COA	4-carboxycyclohexanoyl-CoA	Others
1-CARBOXYGLUTAMIC_ACID	4-carboxyglutamate	Others
1-CARBOXYVINYL-CARBOXYPHOSPHONATE	1-carboxyvinyl carboxyphosphonate	Organophosphorus-Compounds
1-CHLORO-24-DINITROBENZENE	1-chloro-2,4-dinitrobenzene	C-nitro-compounds
1-Cys-Peroxiredoxin-L-cysteine	a [1-Cys-peroxiredoxin]-L-cysteine	Protein-Amino-Acids
1-Cys-Peroxiredoxin-L-hydroxycysteine	a [1-Cys-peroxiredoxin]-S-hydroxy-L-cysteine	Protein-Amino-Acids
1-Cys-Peroxiredoxin-S-S-G	a [1-Cys-peroxiredoxin]-(glutathion-S-yl)-L-cysteine	Protein-Amino-Acids
1-DEOXY-D-ALTRO-HEPTULOSE-7-PHOSPHATE	1-deoxy-D-altro-heptulose 7-phosphate	Others
1-DEOXYNOJIRIMYCIN	1-deoxynojirimycin	Others
1-DEOXYXYLONOJIRIMYCIN	1-deoxyxylonojirimycin	Others
1-ETHYLADENINE	N1-ethyladenine	Modified-Bases
1-HYDROXY-2-BETA-D-GLUCOSYLOXY-910-AN	1-hydroxy-2-(&beta;-D-glucosyloxy)-9,10- anthraquinone	Others
1-HYDROXYALKYL-SN-GLYCEROL	1-(1-hydroxyalkyl)-sn-glycerol	Others
1-Haloalkanes	a 1-haloalkane	Others
1-Hydroxy-2-oxolimonenes	a 1-hydroxymenth-8-en-2-one	Terpenoids
1-Hydroxy-2-oxolimonenes	a 1-hydroxymenth-8-en-2-one	Polyisoprenoids
1-Hydroxy-3-Oxo-Steroids	a 1-hydroxy-3-oxo-steroid	Oxosteroids
1-INDANOL	1-indanol	Others
1-INDANONE	indan-1-one	Others
1-KESTOTRIOSE	1-kestotriose	Carbohydrates
1-KETO-2-METHYLVALERATE	(R)-2,3-dihydroxy-3-methylpentanoate	Others
1-L-MYO-INOSITOL-1-P	1D-myo-inositol 3-monophosphate	Cyclic-Alcohols
1-Linoleoyl-2-Acyl-Glycerol-P	a 1-linoleoyl-2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Linoleoyl-2-Acyl-Glycerol-P	a 1-linoleoyl-2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Linoleoyl-2-Acyl-Glycerols	a 1-linoleoyl-2-acyl-sn-glycerol	Glycerides
1-Linoleoyl-2-Acyl-Glycerols	a 1-linoleoyl-2-acyl-sn-glycerol	Glycerolipids
1-Linoleoyl-2-acyl-glycerolipids	a 1-linoleoyl 2-acyl-[glycerolipid]	Organic-Acids
1-Linoleoyl-2-acyl-glycerolipids	a 1-linoleoyl 2-acyl-[glycerolipid]	Glycerolipids
1-Linoleoyl-2-acyl-glycerolipids	a 1-linoleoyl 2-acyl-[glycerolipid]	Phospholipids
1-Linoleoyl-L-Phosphatidate	a 1-linoleoyl 2-acyl-sn-glycerol 3-phosphate	Organic-Acids
1-Linoleoyl-L-Phosphatidate	a 1-linoleoyl 2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Linoleoyl-L-Phosphatidate	a 1-linoleoyl 2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Linoleoyl-PC	a 1-linoleoyl-2-acyl-sn-glycero-3-phosphocholine	Glycerolipids
1-Linoleoyl-PC	a 1-linoleoyl-2-acyl-sn-glycero-3-phosphocholine	Phospholipids
1-Lyso-phospholipids	a 1-lysophospholipid	Phospholipids
1-Lysophosphatidylglycerols	a 1-lysophosphatidylglycerol	Phospholipids
1-Lysophosphatidylserines	a 1-lysophosphatidylserine	Phospholipids
1-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE	neoglucobrassicin	Glucosinolates
1-METHYL-MYO-INOSITOL	D-bornesitol	Cyclic-Alcohols
1-METHYLADENOSINE	1-methyladenosine	Modified-Bases
1-Methyl-3-Phenylureas	an N-methyl-N'-phenylurea compound	Toxins
1-Methyl-3-Phenylureas	an N-methyl-N'-phenylurea compound	Phenylurea-Herbicides
1-O-ALKYL-2-ACETYL-3-ACYL-SN-GLYCEROL	a 2-acetyl-3-acyl-1-O-alkyl-sn-glycerol	Others
1-O-ALKYL-2-ACETYL-SN-GLYCEROL	1-O-alkyl-2-acetyl-sn-glycerol	Others
1-O-GALLOYL-BETA-D-GLUCOSE	1-O-galloyl-&beta;-D-glucose	Organic-aromatic-compounds
1-O-SINAPOYL-BETA-D-GLUCOSE	1-O-sinapoyl-&beta;-D-glucose	Organic-aromatic-compounds
1-O6-O-DIGALLOYL-BETA-D-GLUCOSE	1-O,6-O-digalloyl-&beta;-D-glucose	Organic-aromatic-compounds
1-Oleoyl-2-Acyl-Glycerol-P	a 1-oleoyl-2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Oleoyl-2-Acyl-Glycerol-P	a 1-oleoyl-2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Oleoyl-2-Acyl-Glycerols	a 1-oleoyl-2-acyl-sn-glycerol	Glycerides
1-Oleoyl-2-Acyl-Glycerols	a 1-oleoyl-2-acyl-sn-glycerol	Glycerolipids
1-Oleoyl-L-Phosphatidate	a 1-oleoyl 2-acyl-sn-glycerol 3-phosphate	Organic-Acids
1-Oleoyl-PC	a 1-oleoyl-2-acyl-sn-glycero-3-phosphocholine	Glycerolipids
1-Oleoyl-PC	a 1-oleoyl-2-acyl-sn-glycero-3-phosphocholine	Phospholipids
1-PALMITOYLGLYCEROL-3-PHOSPHATE	1-palmitoyl-sn-glycerol 3-phosphate	Phospholipids
1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH	a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate	Glycerolipids
1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH	a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate	Cyclic-Alcohols
1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH	a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate	Phospholipids
1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate	Glycerolipids
1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate	Cyclic-Alcohols
1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate	Phospholipids
1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA	a 1-phosphatidyl-1D-myo-inositol 5-phosphate	Glycerolipids
1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA	a 1-phosphatidyl-1D-myo-inositol 5-phosphate	Cyclic-Alcohols
1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA	a 1-phosphatidyl-1D-myo-inositol 5-phosphate	Phospholipids
1-PHOSPHATIDYL-MYO-INOSITOL-2-MANNOSE	a 2-O-(&alpha;-D-mannosyl)-1-phosphatidyl-1D-myo-inositol	Carbohydrates
1-PHOSPHATIDYL-MYO-INOSITOL-2-MANNOSE	a 2-O-(&alpha;-D-mannosyl)-1-phosphatidyl-1D-myo-inositol	Glycolipids
1-Palmitoyl-2-Acyl-Glycerol-P	a 1-palmitoyl-2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Palmitoyl-2-Acyl-Glycerol-P	a 1-palmitoyl-2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Palmitoyl-2-Acyl-Glycerols	a 1-palmitoyl-2-acyl-sn-glycerol	Glycerides
1-Palmitoyl-2-Acyl-Glycerols	a 1-palmitoyl-2-acyl-sn-glycerol	Glycerolipids
1-Phosphatidyl-2-O-D-Ala-Glycerol	2-O-D-alanyl-1-O-phosphatidylglycerol	Others
1-RADYL-2-ACETYL-SN-GLYCERO-3-PHOSPHOLIP	1-organyl-2-acetyl-sn-glycero-3-phospholipid	Others
1-RADYL-2-ACYL-SN-GLYCERO-3-PHOSPHOLIPID	a 1-organyl-2-lyso-sn-glycero-3-phospholipid	Others
1-SINAPOYL-D-GLUCOSE	1-sinapoyl-D-glucose	Others
1-Stearoyl-2-Acyl-Glycerol-P	a 1-stearoyl-2-acyl-sn-glycerol 3-phosphate	Glycerolipids
1-Stearoyl-2-Acyl-Glycerol-P	a 1-stearoyl-2-acyl-sn-glycerol 3-phosphate	Phospholipids
1-Stearoyl-2-Acyl-Glycerols	a 1-stearoyl-2-acyl-sn-glycerol	Glycerides
1-Stearoyl-2-Acyl-Glycerols	a 1-stearoyl-2-acyl-sn-glycerol	Glycerolipids
1-Stearoyl-L-Phosphatidate	a 1-stearoyl 2-acyl-sn-glycerol 3-phosphate	Organic-Acids
1-Stearoyl-PC	a 1-stearoyl-2-acyl-sn-glycero-3-phosphocholine	Glycerolipids
1-Stearoyl-PC	a 1-stearoyl-2-acyl-sn-glycero-3-phosphocholine	Phospholipids
1-acyl-2-oleoyl-glyceride	a 1-acyl,2-oleoyl-sn-glycerol	Glycerides
1-acyl-2-oleoyl-glyceride	a 1-acyl,2-oleoyl-sn-glycerol	Glycerolipids
1-acyl-2-oleoyl-glycerolipids	a 1-acyl-2-oleoyl-[glycerolipid]	Glycerolipids
1-acyl-2-palmitoleoyl-glycerolipids	a 1-acyl-2-palmitoleoyl-[glycerolipid]	Glycerolipids
1-acyl-2-palmitoyl-glycerolipids	a 1-acyl-2-palmitoyl-[glycerolipid]	Glycerolipids
1-acyl-2-stearoyl-glycerolipids	a 1-acyl 2-stearoyl-[glycerolipid]	Glycerolipids
1-alkyl-23-diacylglycerol	a 1-alkyl-2,3-diacylglycerol	Ethers
1-alkyl-23-diacylglycerol	a 1-alkyl-2,3-diacylglycerol	Ether-Lipids
1-alpha-Linolenoyl-2-acyl-glycerolipids	a 1-&alpha;-linolenoyl 2-acyl-[glycerolipid]	Organic-Acids
1-alpha-Linolenoyl-2-acyl-glycerolipids	a 1-&alpha;-linolenoyl 2-acyl-[glycerolipid]	Glycerolipids
1-alpha-Linolenoyl-2-acyl-glycerolipids	a 1-&alpha;-linolenoyl 2-acyl-[glycerolipid]	Phospholipids
1-arachidonoyl-PC	a 1-arachidonoyl-2-acyl-sn-glycero-3-phosphocholine	Glycerolipids
1-arachidonoyl-PC	a 1-arachidonoyl-2-acyl-sn-glycero-3-phosphocholine	Phospholipids
1-gamma-Linolenoyl-L-Phosphatidate	a 1-&gamma;-linolenoyl 2-acyl-sn-glycerol 3-phosphate	Organic-Acids
1-gamma-linolenoyl-2-acyl-glycerolipids	a 1-&gamma;-linolenoyl 2-acyl-[glycerolipid]	Organic-Acids
1-oleoyl-2-acyl-glycerolipids	a 1-oleoyl 2-acyl-[glycerolipid]	Organic-Acids
1-stearidonoyl-2-acyl-glycerolipids	a 1-stearidonoyl 2-acyl-[glycerolipid]	Organic-Acids
1-stearidonoyl-L-Phosphatidate	a 1-stearidonoyl 2-acyl-sn-glycerol 3-phosphate	Organic-Acids
1-stearoyl-2-acyl-glycerolipids	a 1-stearoyl 2-acyl-[glycerolipid]	Organic-Acids
10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	10&beta;-hydroxytaxa-4(20),11-dien-5&alpha;-yl acetate	Others
10-DEACETYL-2-DEBENZOYLBACCATIN-III	10-deacetyl-2-debenzoylbaccatin III	Others
10-DEACETYLBACCATIN-III	10-deacetylbaccatin III	Others
10-DEOXYSARPAGINE	10-deoxysarpagine	Others
10-DESACETYLTAXUYUNNANIN-C	10-deacetyltaxuyunnanin C	Others
10-FORMYL-DIHYDROFOLATE-GLU-N	an N10-formyl-7,8-dihydrofolate	Organonitrogen-Heterocyclic-Compounds
10-FORMYL-DIHYDROFOLATE-GLU-N	an N10-formyl-7,8-dihydrofolate	Organonitrogen-Compounds
10-FORMYL-DIHYDROFOLATE-GLU-N	an N10-formyl-7,8-dihydrofolate	All-Folates
10-FORMYL-DIHYDROFOLATE-GLU-N	an N10-formyl-7,8-dihydrofolate	Organic-Heteropolycyclic-Compounds
10-FORMYL-THF	10-formyl-tetrahydrofolate mono-L-glutamate	Organonitrogen-Heterocyclic-Compounds
10-FORMYL-THF	10-formyl-tetrahydrofolate mono-L-glutamate	Organonitrogen-Compounds
10-FORMYL-THF	10-formyl-tetrahydrofolate mono-L-glutamate	All-Folates
10-FORMYL-THF	10-formyl-tetrahydrofolate mono-L-glutamate	Organic-Heteropolycyclic-Compounds
10-HDoHE	10-HDoHE	Organic-Acids
10-HETE	10-HETE	Organic-Acids
10-HPODE	10-HpODE	Organic-Acids
10-HPODE	10-HpODE	Alkyl-Hydro-Peroxides
10-HYDROXYDECANOATE	10-hydroxydecanoate	Organic-Acids
10-HYDROXYDECANOATE	10-hydroxydecanoate	Omega-Hydroxy-Me-Branched-Lipids
10-HYDROXYDIHYDROSANGUINARINE	10-hydroxydihydrosanguinarine	Others
10-OXODECANOATE	10-oxodecanoate	Others
1016-DIHYDROXYPALMITATE	10,16-dihydroxypalmitate	Organic-Acids
1016-DIHYDROXYPALMITATE	10,16-dihydroxypalmitate	Omega-Hydroxy-Me-Branched-Lipids
10xMan-16-Man8GlcNAc2-proteins	[&alpha;-D-Man-(1&rarr;6)]10-(Man9GlcNAc2-[protein]	Carbohydrates
11-12-DiHETE	11,12-diHETE	Organic-Acids
11-12-DiHETrE	11,12-DiHETrE	Organic-Acids
11-13-Eicosadienoates	an 11,13-icosadienoate	Organic-Acids
11-Beta-Hydroxysteroids1	an 11-&beta;-hydroxysteroid	Hydroxysteroids
11-Cis-Retinyl-Esters	an 11-cis-retinyl ester	Retinyl-Esters
11-Cis-Retinyl-Esters	an 11-cis-retinyl ester	Polyisoprenoids
11-Cis-Retinyl-Esters	an 11-cis-retinyl ester	Terpenoids
11-DCE	1,1,-dichloroethene	Others
11-DEOXY-CORTISOL	11-desoxycortisol	Others
11-DEOXYCORTICOSTERONE	11-deoxycorticosterone	Others
11-Dimethyl-3-Phenylureas	an N,N-dimethyl-N'-phenylurea compound	Toxins
11-Dimethyl-3-Phenylureas	an N,N-dimethyl-N'-phenylurea compound	Phenylurea-Herbicides
11-HDoHE	11-HDoHE	Organic-Acids
