pathway_id	pathway_name	category
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	Nucleotide-Biosynthesis
DESULFONATION-PWY	benzenesulfonate degradation	AROMATIC-COMPOUNDS-DEGRADATION
DETOX1-PWY	superoxide radicals degradation	REACTIVE-OXYGEN-SPECIES-DEGRADATION
DETOX1-PWY-1	reactive oxygen species degradation	REACTIVE-OXYGEN-SPECIES-DEGRADATION
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	CARBOXYLATES-DEG
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	Carbohydrates-Degradation
DISSULFRED-PWY	dissimilatory sulfate reduction I (to hydrogen sufide))	Noncarbon-Nutrients
DISSULFRED-PWY	dissimilatory sulfate reduction I (to hydrogen sufide))	Respiration
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	Carbohydrates-Biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis	Carbohydrates-Biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt	Entner-Duodoroff-Pathways
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	Lipid-Biosynthesis
ETHYL-PWY	ethene biosynthesis I (plants)	SECONDARY-METABOLITE-BIOSYNTHESIS
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	Alcohol-Degradation
FAO-PWY	fatty acid &beta;-oxidation I (generic)	Fatty-Acid-and-Lipid-Degradation
FASYN-ELONG-PWY	fatty acid elongation -- saturated	Lipid-Biosynthesis
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation	Lipid-Biosynthesis
FERMENTATION-PWY	mixed acid fermentation	Fermentation
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)	Noncarbon-Nutrients
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I	AROMATIC-COMPOUNDS-DEGRADATION
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Cofactor-Biosynthesis
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)	C1-COMPOUNDS
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	Others
FUCCAT-PWY	L-fucose degradation I	Carbohydrates-Degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	Others
GALACTARDEG-PWY	D-galactarate degradation I	CARBOXYLATES-DEG
GALACTCAT-PWY	D-galactonate degradation	CARBOXYLATES-DEG
GALACTITOLCAT-PWY	galactitol degradation	SECONDARY-METABOLITE-DEGRADATION
GALACTUROCAT-PWY	D-galacturonate degradation I	CARBOXYLATES-DEG
GALDEG-PWY	D-galactose degradation II	Carbohydrates-Degradation
GALLATE-DEGRADATION-I-PWY	gallate degradation II	AROMATIC-COMPOUNDS-DEGRADATION
GALLATE-DEGRADATION-II-PWY	gallate degradation I	AROMATIC-COMPOUNDS-DEGRADATION
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation	CHLORINATED-COMPOUNDS-DEG
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis	Carbohydrates-Biosynthesis
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	AMINE-DEG
GLNSYN-PWY	L-glutamine biosynthesis I	Noncarbon-Nutrients
GLNSYN-PWY	L-glutamine biosynthesis I	Amino-Acid-Biosynthesis
GLUAMCAT-PWY	N-acetylglucosamine degradation I	AMINE-DEG
GLUCARDEG-PWY	D-glucarate degradation I	CARBOXYLATES-DEG
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	Others
GLUCONEO-PWY	gluconeogenesis I	Carbohydrates-Biosynthesis
GLUCONSUPER-PWY	D-gluconate degradation	CARBOXYLATES-DEG
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Carbohydrates-Degradation
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	CARBOXYLATES-DEG
GLUDEG-I-PWY	GABA shunt I	AMINE-DEG
GLUDEG-I-PWY	GABA shunt I	Amino-Acid-Degradation
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	Fermentation
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	Amino-Acid-Degradation
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	Amino-Acid-Biosynthesis
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	Cofactor-Biosynthesis
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	Amino-Acid-Degradation
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	Amino-Acid-Biosynthesis
GLUTAMINDEG-PWY	L-glutamine degradation I	Amino-Acid-Degradation
GLUTAMINEFUM-PWY	L-glutamine degradation II	Amino-Acid-Degradation
GLUTATHIONESYN-PWY	glutathione biosynthesis	Cofactor-Biosynthesis
GLUTDEG-PWY	L-glutamate degradation II	Amino-Acid-Degradation
GLUTORN-PWY	L-ornithine biosynthesis I	Amino-Acid-Biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I	Amino-Acid-Biosynthesis
GLUTSYNIII-PWY	L-glutamate biosynthesis III	Amino-Acid-Biosynthesis
GLYCEROLMETAB-PWY	glycerol degradation V	Alcohol-Degradation
GLYCGREAT-PWY	creatine biosynthesis	Polyamine-Biosynthesis
GLYCGREAT-PWY	creatine biosynthesis	Amino-Acid-Degradation
GLYCINE-SYN2-PWY	glycine biosynthesis II	Amino-Acid-Biosynthesis
GLYCLEAV-PWY	glycine cleavage	Amino-Acid-Degradation
GLYCOCAT-PWY	glycogen degradation I	Carbohydrates-Degradation
GLYCOCAT-PWY	glycogen degradation I	Glycan-Degradation
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	Carbohydrates-Biosynthesis
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Alcohol-Degradation
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	CARBOXYLATES-DEG
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS-VARIANTS
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	Others
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Others
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	CARBOXYLATES-DEG
GLYOXYLATE-BYPASS	glyoxylate cycle	Others
GLYSYN-ALA-PWY	glycine biosynthesis III	Amino-Acid-Biosynthesis
GLYSYN-PWY	glycine biosynthesis I	Amino-Acid-Biosynthesis
GLYSYN-THR-PWY	glycine biosynthesis IV	Amino-Acid-Biosynthesis
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	Alcohol-Degradation
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	AROMATIC-COMPOUNDS-DEGRADATION
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	Cofactor-Biosynthesis
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	Cofactor-Biosynthesis
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	Cofactor-Biosynthesis
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	SECONDARY-METABOLITE-DEGRADATION
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	Polyprenyl-Biosynthesis
HISDEG-PWY	L-histidine degradation I	Amino-Acid-Degradation
HISHP-PWY	L-histidine degradation VI	Amino-Acid-Degradation
HISTDEG-PWY	L-histidine degradation IV	Amino-Acid-Degradation
HISTSYN-PWY	L-histidine biosynthesis	Amino-Acid-Biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	Amino-Acid-Biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	Amino-Acid-Degradation
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	Amino-Acid-Biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	Amino-Acid-Biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis	Amino-Acid-Biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III	Amino-Acid-Biosynthesis
HYDROXYPRODEG-PWY	trans-4-hydroxy-L-proline degradation I	Amino-Acid-Degradation
IDNCAT-PWY	L-idonate degradation	CARBOXYLATES-DEG
ILEUDEG-PWY	L-isoleucine degradation I	Amino-Acid-Degradation
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	Amino-Acid-Biosynthesis
KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis (E. coli)	Lipid-Biosynthesis
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	Lipid-Biosynthesis
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	Cell-Structure-Biosynthesis
KDOSYN-PWY	Kdo transfer to lipid IVA (E. coli)	Cell-Structure-Biosynthesis
KETOGLUCONMET-PWY	ketogluconate metabolism	CARBOXYLATES-DEG
LACTOSECAT-PWY	lactose and galactose degradation I	Carbohydrates-Degradation
LACTOSEUTIL-PWY	lactose degradation II	Carbohydrates-Degradation
LARABITOLUTIL-PWY	xylitol degradation I	SECONDARY-METABOLITE-DEGRADATION
LCYSDEG-PWY	L-cysteine degradation II	Amino-Acid-Degradation
LEU-DEG2-PWY	L-leucine degradation I	Amino-Acid-Degradation
LEUSYN-PWY	L-leucine biosynthesis	Amino-Acid-Biosynthesis
LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	Lipid-Biosynthesis
LIPAS-PWY	triacylglycerol degradation	Fatty-Acid-and-Lipid-Degradation
LIPASYN-PWY	phospholipases	Fatty-Acid-and-Lipid-Degradation
LPSSYN-PWY	superpathway of Kdo2-lipid A biosynthesis	Lipid-Biosynthesis
LYSDEGII-PWY	L-lysine degradation III	Amino-Acid-Degradation
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV	Amino-Acid-Biosynthesis
LYSINE-DEG1-PWY	L-lysine degradation XI	Amino-Acid-Degradation
LYXMET-PWY	L-lyxose degradation	Carbohydrates-Degradation
M-CRESOL-DEGRADATION-PWY	m-cresol degradation	AROMATIC-COMPOUNDS-DEGRADATION
MALATE-ASPARTATE-SHUTTLE-PWY	malate/L-aspartate shuttle pathway	OTHER-ENERGY
MALTOSECAT-PWY	maltose degradation	Carbohydrates-Degradation
MANNCAT-PWY	D-mannose degradation I	Carbohydrates-Degradation
MANNIDEG-PWY	mannitol degradation I	SECONDARY-METABOLITE-DEGRADATION
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation initial phase (eukaryotic)	Glycan-Biosynthesis
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation initial phase (eukaryotic)	Carbohydrates-Biosynthesis
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	Cofactor-Biosynthesis
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	Cofactor-Biosynthesis
METH-ACETATE-PWY	methanogenesis from acetate	Respiration
METHANOGENESIS-PWY	methanogenesis from H2 and CO2	Respiration
METHFORM-PWY	methyl-coenzyme M reduction to methane	Respiration
METHGLYUT-PWY	superpathway of methylglyoxal degradation	Aldehyde-Degradation
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	Amino-Acid-Degradation
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	AROMATIC-COMPOUNDS-DEGRADATION
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	Amino-Acid-Biosynthesis
MGLDLCTANA-PWY	methylglyoxal degradation VI	Methylglyoxal-Detoxification
N2FIX-PWY	nitrogen fixation I (ferredoxin)	Noncarbon-Nutrients
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	Cofactor-Biosynthesis
NAD-BIOSYNTHESIS-III	NAD biosynthesis from nicotinamide	Cofactor-Biosynthesis
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	Cofactor-Biosynthesis
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	Cofactor-Biosynthesis
NADSYN-PWY	NAD de novo biosynthesis II (from tryptophan)	Cofactor-Biosynthesis
NAGLIPASYN-PWY	lipid IVA biosynthesis (E. coli)	Lipid-Biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I	SECONDARY-METABOLITE-BIOSYNTHESIS
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	Pentose-Phosphate-Cycle
NOPALINEDEG-PWY	nopaline degradation	SECONDARY-METABOLITE-DEGRADATION
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	Entner-Duodoroff-Pathways
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	Carbohydrates-Biosynthesis
OCTOPINEDEG-PWY	octopine degradation	SECONDARY-METABOLITE-DEGRADATION
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	Amino-Acid-Biosynthesis
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	Amino-Acid-Degradation
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Amino-Acid-Degradation
ORNDEG-PWY	superpathway of ornithine degradation	AMINE-DEG
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	Pentose-Phosphate-Cycle
P101-PWY	ectoine biosynthesis	Polyamine-Biosynthesis
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	TCA-VARIANTS
P108-PWY	pyruvate fermentation to propanoate I	Fermentation
P121-PWY	adenine and adenosine salvage I	Nucleotide-Biosynthesis
P122-PWY	heterolactic fermentation	Fermentation
P124-PWY	Bifidobacterium shunt	CARBOXYLATES-DEG
P124-PWY	Bifidobacterium shunt	Fermentation
P124-PWY	Bifidobacterium shunt	Carbohydrates-Degradation
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	Other-biosynthesis
P141-PWY	atrazine degradation I (aerobic)	AROMATIC-COMPOUNDS-DEGRADATION
P142-PWY	pyruvate fermentation to acetate I	CARBOXYLATES-DEG
P161-PWY	acetylene degradation (anaerobic)	CARBOXYLATES-DEG
P161-PWY	acetylene degradation (anaerobic)	Fermentation
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	CARBOXYLATES-DEG
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	Fermentation
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	Amino-Acid-Degradation
P163-PWY	L-lysine fermentation to acetate and butanoate	CARBOXYLATES-DEG
P163-PWY	L-lysine fermentation to acetate and butanoate	Fermentation
P163-PWY	L-lysine fermentation to acetate and butanoate	Amino-Acid-Degradation
P164-PWY	purine nucleobases degradation I (anaerobic)	Fermentation
P164-PWY	purine nucleobases degradation I (anaerobic)	NUCLEO-DEG
P165-PWY	superpathway of purines degradation in plants	AROMATIC-COMPOUNDS-DEGRADATION
P181-PWY	nicotine degradation I (pyridine pathway)	Other-Degradation
P183-PWY	catechol degradation to 2-hydroxypentadienoate I	AROMATIC-COMPOUNDS-DEGRADATION
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	AROMATIC-COMPOUNDS-DEGRADATION
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	C1-COMPOUNDS
P2-PWY	citrate lyase activation	Cofactor-Biosynthesis
P201-PWY	nitroglycerin degradation	Other-Degradation
P203-PWY	sulfur disproportionation I (anaerobic)	Noncarbon-Nutrients
P203-PWY	sulfur disproportionation I (anaerobic)	OTHER-ENERGY
P21-PWY	pentose phosphate pathway (partial)	Pentose-Phosphate-Cycle
P221-PWY	octane oxidation	Other-Degradation
P222-PWY	sulfide oxidation I (to sulfur globules)	Noncarbon-Nutrients
P222-PWY	sulfide oxidation I (to sulfur globules)	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
P23-PWY	reductive TCA cycle I	C1-COMPOUNDS
P241-PWY	coenzyme B biosynthesis	Cofactor-Biosynthesis
P261-PWY	coenzyme M biosynthesis I	Cofactor-Biosynthesis
P281-PWY	3-phenylpropanoate degradation	AROMATIC-COMPOUNDS-DEGRADATION
P282-PWY	nitrite oxidation	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
P282-PWY	nitrite oxidation	Electron-Transfer
P283-PWY	hydrogen oxidation I (aerobic)	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
P3-PWY	gallate degradation III (anaerobic)	AROMATIC-COMPOUNDS-DEGRADATION
P301-PWY	galena oxidation	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
P302-PWY	L-sorbose degradation	Carbohydrates-Degradation
P303-PWY	ammonia oxidation II (anaerobic)	Noncarbon-Nutrients
P303-PWY	ammonia oxidation II (anaerobic)	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
P303-PWY	ammonia oxidation II (anaerobic)	Respiration
P321-PWY	benzoyl-CoA degradation III (anaerobic)	AROMATIC-COMPOUNDS-DEGRADATION
P341-PWY	glycolysis V (Pyrococcus)	GLYCOLYSIS-VARIANTS
P342-PWY	orcinol degradation	AROMATIC-COMPOUNDS-DEGRADATION
P343-PWY	resorcinol degradation	AROMATIC-COMPOUNDS-DEGRADATION
P344-PWY	superpathway of acrylonitrile degradation	Other-Degradation
P345-PWY	aldoxime degradation	AROMATIC-COMPOUNDS-DEGRADATION
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	Cofactor-Biosynthesis
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Amino-Acid-Biosynthesis
P401-PWY	cyanide degradation	Other-Degradation
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	CARBOXYLATES-DEG
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	Fermentation
P42-PWY	incomplete reductive TCA cycle	C1-COMPOUNDS
P421-PWY	4-nitrotoluene degradation I	AROMATIC-COMPOUNDS-DEGRADATION
P441-PWY	superpathway of N-acetylneuraminate degradation	CARBOXYLATES-DEG
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	CARBOXYLATES-DEG
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	SECONDARY-METABOLITE-DEGRADATION
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	Fermentation
P481-PWY	adamantanone degradation	Other-Degradation
P482-PWY	arsonoacetate degradation	Arsenic-Detoxification
P483-PWY	phosphonoacetate degradation	Noncarbon-Nutrients
P541-PWY	glycine betaine biosynthesis IV (from glycine)	Polyamine-Biosynthesis
P542-PWY	choline-O-sulfate degradation	AMINE-DEG
P561-PWY	proline betaine degradation I	AMINE-DEG
P562-PWY	myo-inositol degradation I	SECONDARY-METABOLITE-DEGRADATION
P581-PWY	thiocyanate degradation I	Other-Degradation
P601-PWY	(R)-camphor degradation	SECONDARY-METABOLITE-DEGRADATION
