pathway_id	pathway_name	category
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	Degradation
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	Degradation
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	Degradation
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	Super-Pathways
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	Degradation
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	Degradation
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	Super-Pathways
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	Biosynthesis
ARGSPECAT-PWY	spermine biosynthesis	Biosynthesis
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	Super-Pathways
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	Biosynthesis
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Biosynthesis
ARO-PWY	chorismate biosynthesis I	Super-Pathways
ARO-PWY	chorismate biosynthesis I	Biosynthesis
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	Biosynthesis
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	Degradation
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	Degradation
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	Biosynthesis
ASPARTATE-DEG1-PWY	L-aspartate degradation I	Degradation
ASPARTATESYN-PWY	L-aspartate biosynthesis	Biosynthesis
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Super-Pathways
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Biosynthesis
ASPSYNII-PWY	cyanide detoxification I	Detoxification
AST-PWY	L-arginine degradation II (AST pathway)	Degradation
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)	Degradation
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)	Super-Pathways
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	Degradation
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	Biosynthesis
BGALACT-PWY	lactose degradation III	Degradation
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	Super-Pathways
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	Super-Pathways
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	Biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	Biosynthesis
CALVIN-PWY	Calvin-Benson-Bassham cycle	Degradation
CALVIN-PWY	Calvin-Benson-Bassham cycle	Biosynthesis
CAMALEXIN-SYN	camalexin biosynthesis	Biosynthesis
CARNMET-PWY	L-carnitine degradation I	Degradation
CARNMET-PWY	L-carnitine degradation I	Energy-Metabolism
CAROTENOID-PWY	superpathway of carotenoid biosynthesis in plants	Super-Pathways
CAROTENOID-PWY	superpathway of carotenoid biosynthesis in plants	Biosynthesis
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	Degradation
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	Degradation
CENTFERM-PWY	pyruvate fermentation to butanoate	Energy-Metabolism
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	Biosynthesis
CHOLINE-BETAINE-ANA-PWY	choline degradation I	Degradation
CITRULBIO-PWY	L-citrulline biosynthesis	Biosynthesis
CITRULLINE-DEG-PWY	L-citrulline degradation	Degradation
CO2FORM-PWY	methanogenesis from methanol	Degradation
CO2FORM-PWY	methanogenesis from methanol	Energy-Metabolism
COA-PWY	coenzyme A biosynthesis I (bacteria)	Biosynthesis
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	Super-Pathways
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	Biosynthesis
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	Super-Pathways
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	Biosynthesis
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	Degradation
COLANSYN-PWY	colanic acid building blocks biosynthesis	Super-Pathways
COLANSYN-PWY	colanic acid building blocks biosynthesis	Biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Super-Pathways
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Biosynthesis
CRNFORCAT-PWY	creatinine degradation I	Degradation
CYANCAT-PWY	cyanate degradation	Degradation
CYANCAT-PWY	cyanate degradation	Detoxification
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Degradation
CYSTEINE-DEG-PWY	L-cysteine degradation I	Degradation
CYSTSYN-PWY	L-cysteine biosynthesis I	Biosynthesis
DAPLYSINESYN-PWY	L-lysine biosynthesis I	Biosynthesis
DARABCAT-PWY	D-arabinose degradation I	Degradation
DARABCATK12-PWY	D-arabinose degradation II	Degradation
DARABITOLUTIL-PWY	D-arabinitol degradation I	Degradation
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Degradation
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Energy-Metabolism
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	Super-Pathways
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	Biosynthesis
DESULFONATION-PWY	benzenesulfonate degradation	Degradation
DETOX1-PWY	superoxide radicals degradation	Detoxification
DETOX1-PWY-1	reactive oxygen species degradation	Super-Pathways
DETOX1-PWY-1	reactive oxygen species degradation	Detoxification
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	Degradation
DISSULFRED-PWY	dissimilatory sulfate reduction I (to hydrogen sufide))	Degradation
DISSULFRED-PWY	dissimilatory sulfate reduction I (to hydrogen sufide))	Energy-Metabolism
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	Biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis	Biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis	Super-Pathways
ENTBACSYN-PWY	enterobactin biosynthesis	Biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt	Energy-Metabolism
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	Super-Pathways
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	Biosynthesis
ETHYL-PWY	ethene biosynthesis I (plants)	Biosynthesis
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	Degradation
FAO-PWY	fatty acid &beta;-oxidation I (generic)	Degradation
FASYN-ELONG-PWY	fatty acid elongation -- saturated	Biosynthesis
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation	Super-Pathways
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation	Biosynthesis
FERMENTATION-PWY	mixed acid fermentation	Energy-Metabolism
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)	Degradation
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)	Energy-Metabolism
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I	Degradation
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Super-Pathways
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Biosynthesis
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)	Degradation
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	Super-Pathways
FUCCAT-PWY	L-fucose degradation I	Degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	Super-Pathways
GALACTARDEG-PWY	D-galactarate degradation I	Degradation
GALACTCAT-PWY	D-galactonate degradation	Degradation
GALACTITOLCAT-PWY	galactitol degradation	Degradation
GALACTUROCAT-PWY	D-galacturonate degradation I	Degradation
GALDEG-PWY	D-galactose degradation II	Degradation
GALLATE-DEGRADATION-I-PWY	gallate degradation II	Degradation
GALLATE-DEGRADATION-II-PWY	gallate degradation I	Degradation
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation	Degradation
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis	Biosynthesis
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	Degradation
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	Super-Pathways
GLNSYN-PWY	L-glutamine biosynthesis I	Degradation
GLNSYN-PWY	L-glutamine biosynthesis I	Biosynthesis
GLUAMCAT-PWY	N-acetylglucosamine degradation I	Degradation
GLUCARDEG-PWY	D-glucarate degradation I	Degradation
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	Super-Pathways
GLUCONEO-PWY	gluconeogenesis I	Biosynthesis
GLUCONSUPER-PWY	D-gluconate degradation	Degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Degradation
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	Degradation
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	Super-Pathways
GLUDEG-I-PWY	GABA shunt I	Degradation
GLUDEG-I-PWY	GABA shunt I	Super-Pathways
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	Degradation
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	Super-Pathways
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	Energy-Metabolism
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	Biosynthesis
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	Biosynthesis
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	Degradation
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	Biosynthesis
GLUTAMINDEG-PWY	L-glutamine degradation I	Degradation
GLUTAMINEFUM-PWY	L-glutamine degradation II	Degradation
GLUTATHIONESYN-PWY	glutathione biosynthesis	Biosynthesis
GLUTDEG-PWY	L-glutamate degradation II	Degradation
GLUTORN-PWY	L-ornithine biosynthesis I	Biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I	Biosynthesis
GLUTSYNIII-PWY	L-glutamate biosynthesis III	Biosynthesis
GLYCEROLMETAB-PWY	glycerol degradation V	Degradation
GLYCGREAT-PWY	creatine biosynthesis	Degradation
GLYCGREAT-PWY	creatine biosynthesis	Biosynthesis
GLYCINE-SYN2-PWY	glycine biosynthesis II	Biosynthesis
GLYCLEAV-PWY	glycine cleavage	Degradation
GLYCOCAT-PWY	glycogen degradation I	Glycan-Pathways
GLYCOCAT-PWY	glycogen degradation I	Degradation
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	Biosynthesis
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Degradation
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Super-Pathways
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	Degradation
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Energy-Metabolism
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	Super-Pathways
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	Energy-Metabolism
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Super-Pathways
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Energy-Metabolism
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	Degradation
GLYOXYLATE-BYPASS	glyoxylate cycle	Energy-Metabolism
GLYSYN-ALA-PWY	glycine biosynthesis III	Biosynthesis
GLYSYN-PWY	glycine biosynthesis I	Biosynthesis
GLYSYN-THR-PWY	glycine biosynthesis IV	Biosynthesis
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	Degradation
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	Super-Pathways
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	Degradation
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	Biosynthesis
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	Biosynthesis
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	Biosynthesis
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	Degradation
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	Super-Pathways
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	Biosynthesis
HISDEG-PWY	L-histidine degradation I	Degradation
HISHP-PWY	L-histidine degradation VI	Degradation
HISTDEG-PWY	L-histidine degradation IV	Degradation
HISTSYN-PWY	L-histidine biosynthesis	Biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	Degradation
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	Biosynthesis
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	Biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	Biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis	Biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III	Super-Pathways
HSERMETANA-PWY	L-methionine biosynthesis III	Biosynthesis
HYDROXYPRODEG-PWY	trans-4-hydroxy-L-proline degradation I	Degradation
IDNCAT-PWY	L-idonate degradation	Degradation
ILEUDEG-PWY	L-isoleucine degradation I	Degradation
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	Biosynthesis
KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis (E. coli)	Biosynthesis
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	Super-Pathways
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	Biosynthesis
KDOSYN-PWY	Kdo transfer to lipid IVA (E. coli)	Biosynthesis
KETOGLUCONMET-PWY	ketogluconate metabolism	Degradation
KETOGLUCONMET-PWY	ketogluconate metabolism	Super-Pathways
LACTOSECAT-PWY	lactose and galactose degradation I	Degradation
LACTOSEUTIL-PWY	lactose degradation II	Degradation
LARABITOLUTIL-PWY	xylitol degradation I	Degradation
LCYSDEG-PWY	L-cysteine degradation II	Degradation
LEU-DEG2-PWY	L-leucine degradation I	Degradation
LEUSYN-PWY	L-leucine biosynthesis	Biosynthesis
LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	Biosynthesis
LIPAS-PWY	triacylglycerol degradation	Degradation
LIPASYN-PWY	phospholipases	Metabolic-Clusters
LIPASYN-PWY	phospholipases	Degradation
LPSSYN-PWY	superpathway of Kdo2-lipid A biosynthesis	Super-Pathways
LPSSYN-PWY	superpathway of Kdo2-lipid A biosynthesis	Biosynthesis
LYSDEGII-PWY	L-lysine degradation III	Degradation
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV	Biosynthesis
LYSINE-DEG1-PWY	L-lysine degradation XI	Degradation
LYXMET-PWY	L-lyxose degradation	Degradation
M-CRESOL-DEGRADATION-PWY	m-cresol degradation	Degradation
MALATE-ASPARTATE-SHUTTLE-PWY	malate/L-aspartate shuttle pathway	Energy-Metabolism
MALTOSECAT-PWY	maltose degradation	Degradation
MANNCAT-PWY	D-mannose degradation I	Degradation
MANNIDEG-PWY	mannitol degradation I	Degradation
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation initial phase (eukaryotic)	Glycan-Pathways
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation initial phase (eukaryotic)	Biosynthesis
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	Biosynthesis
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	Super-Pathways
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	Biosynthesis
METH-ACETATE-PWY	methanogenesis from acetate	Energy-Metabolism
METHANOGENESIS-PWY	methanogenesis from H2 and CO2	Energy-Metabolism
METHFORM-PWY	methyl-coenzyme M reduction to methane	Energy-Metabolism
METHGLYUT-PWY	superpathway of methylglyoxal degradation	Degradation
METHGLYUT-PWY	superpathway of methylglyoxal degradation	Super-Pathways
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	Degradation
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	Degradation
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	Super-Pathways
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	Biosynthesis
MGLDLCTANA-PWY	methylglyoxal degradation VI	Detoxification
N2FIX-PWY	nitrogen fixation I (ferredoxin)	Degradation
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	Biosynthesis
NAD-BIOSYNTHESIS-III	NAD biosynthesis from nicotinamide	Biosynthesis
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	Biosynthesis
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	Biosynthesis
NADSYN-PWY	NAD de novo biosynthesis II (from tryptophan)	Super-Pathways
NADSYN-PWY	NAD de novo biosynthesis II (from tryptophan)	Biosynthesis
NAGLIPASYN-PWY	lipid IVA biosynthesis (E. coli)	Biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I	Biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	Energy-Metabolism
NOPALINEDEG-PWY	nopaline degradation	Degradation
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	Energy-Metabolism
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	Metabolic-Clusters
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	Super-Pathways
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	Biosynthesis
OCTOPINEDEG-PWY	octopine degradation	Degradation
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	Degradation
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	Biosynthesis
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Degradation
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Super-Pathways
ORNDEG-PWY	superpathway of ornithine degradation	Degradation
ORNDEG-PWY	superpathway of ornithine degradation	Super-Pathways
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	Energy-Metabolism
P101-PWY	ectoine biosynthesis	Biosynthesis
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	Energy-Metabolism
P108-PWY	pyruvate fermentation to propanoate I	Energy-Metabolism
P121-PWY	adenine and adenosine salvage I	Biosynthesis
P122-PWY	heterolactic fermentation	Energy-Metabolism
P124-PWY	Bifidobacterium shunt	Degradation
P124-PWY	Bifidobacterium shunt	Energy-Metabolism
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	Super-Pathways
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	Biosynthesis
P141-PWY	atrazine degradation I (aerobic)	Degradation
P142-PWY	pyruvate fermentation to acetate I	Degradation
P142-PWY	pyruvate fermentation to acetate I	Super-Pathways
P161-PWY	acetylene degradation (anaerobic)	Degradation
P161-PWY	acetylene degradation (anaerobic)	Energy-Metabolism
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	Degradation
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	Energy-Metabolism
P163-PWY	L-lysine fermentation to acetate and butanoate	Degradation
P163-PWY	L-lysine fermentation to acetate and butanoate	Energy-Metabolism
P164-PWY	purine nucleobases degradation I (anaerobic)	Degradation
P164-PWY	purine nucleobases degradation I (anaerobic)	Energy-Metabolism
P165-PWY	superpathway of purines degradation in plants	Degradation
P165-PWY	superpathway of purines degradation in plants	Super-Pathways
P181-PWY	nicotine degradation I (pyridine pathway)	Degradation
P183-PWY	catechol degradation to 2-hydroxypentadienoate I	Degradation
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	Degradation
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	Degradation
P2-PWY	citrate lyase activation	Biosynthesis
P201-PWY	nitroglycerin degradation	Degradation
P203-PWY	sulfur disproportionation I (anaerobic)	Degradation
P203-PWY	sulfur disproportionation I (anaerobic)	Energy-Metabolism
P21-PWY	pentose phosphate pathway (partial)	Energy-Metabolism
P221-PWY	octane oxidation	Degradation
P222-PWY	sulfide oxidation I (to sulfur globules)	Degradation
P222-PWY	sulfide oxidation I (to sulfur globules)	Energy-Metabolism
P23-PWY	reductive TCA cycle I	Degradation
P241-PWY	coenzyme B biosynthesis	Biosynthesis
P261-PWY	coenzyme M biosynthesis I	Biosynthesis
P281-PWY	3-phenylpropanoate degradation	Degradation
P281-PWY	3-phenylpropanoate degradation	Super-Pathways
P282-PWY	nitrite oxidation	Energy-Metabolism
P283-PWY	hydrogen oxidation I (aerobic)	Energy-Metabolism
P3-PWY	gallate degradation III (anaerobic)	Degradation
P301-PWY	galena oxidation	Energy-Metabolism
P302-PWY	L-sorbose degradation	Degradation
P303-PWY	ammonia oxidation II (anaerobic)	Degradation
P303-PWY	ammonia oxidation II (anaerobic)	Energy-Metabolism
P321-PWY	benzoyl-CoA degradation III (anaerobic)	Degradation
P341-PWY	glycolysis V (Pyrococcus)	Energy-Metabolism
P342-PWY	orcinol degradation	Degradation
P343-PWY	resorcinol degradation	Degradation
P344-PWY	superpathway of acrylonitrile degradation	Degradation
P344-PWY	superpathway of acrylonitrile degradation	Super-Pathways
P345-PWY	aldoxime degradation	Degradation
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	Super-Pathways
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	Biosynthesis
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Super-Pathways
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Biosynthesis
P401-PWY	cyanide degradation	Degradation
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	Degradation
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	Super-Pathways
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	Energy-Metabolism
P42-PWY	incomplete reductive TCA cycle	Degradation
P421-PWY	4-nitrotoluene degradation I	Degradation
P441-PWY	superpathway of N-acetylneuraminate degradation	Degradation
P441-PWY	superpathway of N-acetylneuraminate degradation	Super-Pathways
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	Degradation
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	Super-Pathways
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	Energy-Metabolism
P481-PWY	adamantanone degradation	Degradation
P482-PWY	arsonoacetate degradation	Detoxification
P483-PWY	phosphonoacetate degradation	Degradation
P541-PWY	glycine betaine biosynthesis IV (from glycine)	Biosynthesis
P542-PWY	choline-O-sulfate degradation	Degradation
P542-PWY	choline-O-sulfate degradation	Super-Pathways
P561-PWY	proline betaine degradation I	Degradation
P562-PWY	myo-inositol degradation I	Degradation
P581-PWY	thiocyanate degradation I	Degradation
P601-PWY	(R)-camphor degradation	Degradation
P621-PWY	nylon-6 oligomer degradation	Degradation
P641-PWY	phenylmercury acetate degradation	Detoxification
P661-PWY	dibenzo-p-dioxin degradation	Degradation
P662-PWY	dibenzofuran degradation	Degradation
PANTO-PWY	phosphopantothenate biosynthesis I	Biosynthesis
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	Super-Pathways
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	Biosynthesis
PARATHION-DEGRADATION-PWY	parathion degradation	Degradation
PCEDEG-PWY	tetrachloroethene degradation	Degradation
PCPDEG-PWY	pentachlorophenol degradation	Degradation
PENTOSE-P-PWY	pentose phosphate pathway	Super-Pathways
PENTOSE-P-PWY	pentose phosphate pathway	Energy-Metabolism
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	Super-Pathways
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	Biosynthesis
PHENOLDEG-PWY	phenol degradation II (anaerobic)	Degradation
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	Degradation
